"""",MC-10010,MC-10010 | bikini damas ; talla-m color: verde agua color: na,,"update sku set sku_readable = ""MC-10010 | bikini damas ; talla-m color: verde agua color: na"" where sku = ""MC-10010"";"
"""",MC-11010,MC-11010 | bikini damas ; talla-l color: verde agua color: na,,"update sku set sku_readable = ""MC-11010 | bikini damas ; talla-l color: verde agua color: na"" where sku = ""MC-11010"";"
"""",MC-09011,MC-09011 | bikini damas ; talla-s color: naranja color: na,,"update sku set sku_readable = ""MC-09011 | bikini damas ; talla-s color: naranja color: na"" where sku = ""MC-09011"";"
"""",MC-10011,MC-10011 | bikini damas ; talla-m color: naranja color: na,,"update sku set sku_readable = ""MC-10011 | bikini damas ; talla-m color: naranja color: na"" where sku = ""MC-10011"";"
"""",MC-11011,MC-11011 | bikini damas ; talla-l color: naranja color: na,,"update sku set sku_readable = ""MC-11011 | bikini damas ; talla-l color: naranja color: na"" where sku = ""MC-11011"";"
"""",MC-09012,MC-09012 | bikini damas ; talla-s color: fucsia color: na,,"update sku set sku_readable = ""MC-09012 | bikini damas ; talla-s color: fucsia color: na"" where sku = ""MC-09012"";"
"""",MC-10012,MC-10012 | bikini damas ; talla-m color: fucsia color: na,,"update sku set sku_readable = ""MC-10012 | bikini damas ; talla-m color: fucsia color: na"" where sku = ""MC-10012"";"
"""",MC-11012,MC-11012 | bikini damas ; talla-l color: fucsia color: na,,"update sku set sku_readable = ""MC-11012 | bikini damas ; talla-l color: fucsia color: na"" where sku = ""MC-11012"";"
"""",MC-09013,MC-09013 | bikini damas ; talla-s color: turqueza color: na,,"update sku set sku_readable = ""MC-09013 | bikini damas ; talla-s color: turqueza color: na"" where sku = ""MC-09013"";"
"""",MC-10013,MC-10013 | bikini damas ; talla-m color: turqueza color: na,,"update sku set sku_readable = ""MC-10013 | bikini damas ; talla-m color: turqueza color: na"" where sku = ""MC-10013"";"
"""",MC-11013,MC-11013 | bikini damas ; talla-l color: turqueza color: na,,"update sku set sku_readable = ""MC-11013 | bikini damas ; talla-l color: turqueza color: na"" where sku = ""MC-11013"";"
"""",MC-09014,MC-09014 | bikini damas ; talla-s color: verde limon color: na,,"update sku set sku_readable = ""MC-09014 | bikini damas ; talla-s color: verde limon color: na"" where sku = ""MC-09014"";"
"""",MC-10014,MC-10014 | bikini damas ; talla-m color: verde limon color: na,,"update sku set sku_readable = ""MC-10014 | bikini damas ; talla-m color: verde limon color: na"" where sku = ""MC-10014"";"
"""",MC-11014,MC-11014 | bikini damas ; talla-l color: verde limon color: na,,"update sku set sku_readable = ""MC-11014 | bikini damas ; talla-l color: verde limon color: na"" where sku = ""MC-11014"";"
"""",MC-09015,MC-09015 | bikini damas ; talla-s color: uva color: na,,"update sku set sku_readable = ""MC-09015 | bikini damas ; talla-s color: uva color: na"" where sku = ""MC-09015"";"
"""",MC-10015,MC-10015 | bikini damas ; talla-m color: uva color: na,,"update sku set sku_readable = ""MC-10015 | bikini damas ; talla-m color: uva color: na"" where sku = ""MC-10015"";"
"""",MC-11015,MC-11015 | bikini damas ; talla-l color: uva color: na,,"update sku set sku_readable = ""MC-11015 | bikini damas ; talla-l color: uva color: na"" where sku = ""MC-11015"";"
"""",MC-09016,MC-09016 | bikini damas ; talla-s color: amarillo color: na,,"update sku set sku_readable = ""MC-09016 | bikini damas ; talla-s color: amarillo color: na"" where sku = ""MC-09016"";"
"""",MC-10016,MC-10016 | bikini damas ; talla-m color: amarillo color: na,,"update sku set sku_readable = ""MC-10016 | bikini damas ; talla-m color: amarillo color: na"" where sku = ""MC-10016"";"
"""",MC-11016,MC-11016 | bikini damas ; talla-l color: amarillo color: na,,"update sku set sku_readable = ""MC-11016 | bikini damas ; talla-l color: amarillo color: na"" where sku = ""MC-11016"";"
"""",MC-09017,MC-09017 | bikini damas ; talla-s color: melange color: na,,"update sku set sku_readable = ""MC-09017 | bikini damas ; talla-s color: melange color: na"" where sku = ""MC-09017"";"
